units_sold_360,units_sold,partType,vehicleMaxQty,isDevelopment,make,category,subCat,year,TotalVIO,HasPartsAuthorityPurchased,HasWorldPacPurchased,HasSSFPurchased,sale_year_rank
51,55,Door Window Switch,1,False,BMW,Electrical,"Relays, Switches, Solenoids",2017,37726,True,True,True,10
359,428,Trunk Lid Seal,1,False,Mercedes-Benz,Body,Gaskets & Seals,2019,46220,True,True,True,20
53,73,Door Mirror Switch,1,False,Audi,Electrical,"Relays, Switches, Solenoids",2019,44499,False,True,False,4
430,378,Engine Oil Pan Gasket,1,False,Volkswagen,Engine,Gaskets & Seals,2021,158264,False,True,False,4
474,397,Engine Air Intake Hose,1,True,BMW,Fuel,"Hoses, Pipes, Tubes",2020,19816,True,True,True,4
54,48,Fuel Pump Module Assembly,1,False,Mercedes-Benz,Fuel,Fuel Supply,2018,353270,True,False,False,2
24,28,Trunk Lid Lift Support,2,True,Jaguar,Body,Lift Struts,2020,9073,False,True,False,7
830,549,Drive Belt Idler Pulley,2,False,Freightliner,Engine,Pulleys & Tensioners,2018,207102,True,True,False,6
934,787,Radiator Mount Bushing,1,True,Oldsmobile,Body,Mountings & Bushings,2020,164995,False,False,False,13
125,106,Engine Coolant Reservoir,1,False,Land Rover,Cooling,Expansion Tanks & Parts,2021,10379,True,False,False,5
149,106,Engine Crankcase Breather Hose,1,False,Volkswagen,Fuel,Emissions,2021,218910,True,True,False,9
16,18,Engine Water Pump,1,False,Dodge,Cooling,Water Pumps,2018,190707,True,True,False,6
680,921,Engine Oil Pan,1,False,Pontiac,Engine,Engine Mechanical,2021,2345150,True,True,False,7
4572,2637,Engine Coolant Thermostat Housing Seal,1,True,Saab,Engine,Gaskets & Seals,2020,212308,True,True,True,13
551,484,Engine Valve Cover Washer Seal,1,True,BMW,Engine,Gaskets & Seals,2021,1014992,True,True,False,6
179,143,Suspension Strut Bumper,2,False,Mini,Suspension,Mountings & Bushings,2021,516445,True,True,False,7
1996,2993,Engine Coolant Pipe,1,True,BMW,Cooling,Engine Mechanical,2017,202000,True,True,False,6
52,50,Engine Coolant Hose,1,False,Jaguar,Cooling,"Hoses, Pipes, Tubes",2020,61767,True,True,True,12
1379,739,Engine Coolant Reservoir,1,False,BMW,Cooling,Expansion Tanks & Parts,2018,236938,True,False,False,3
45,61,Engine Coolant Reservoir Hose,1,False,Saab,Cooling,"Hoses, Pipes, Tubes",2019,111803,True,True,True,10
58,176,Disc Brake Pad Wear Sensor,2,False,Porsche,Brakes,Sensors & Senders,2017,4023,False,True,False,7
139,300,Tail Light Socket,4,False,Volvo,Electrical,Sockets & Harness,2019,81549,True,True,False,8
114,151,Secondary Air Injection Pump Mount,3,True,Volvo,Fuel,Mountings & Bushings,2017,14027,True,True,True,8
105,414,Suspension Stabilizer Bar Link,2,False,Volvo,Suspension,Stabilizers,2018,188364,True,False,False,7
69,98,Engine Timing Cover,1,False,Volkswagen,Engine,Miscellaneous,2021,14257,False,True,False,7
238,151,Suspension Strut Mount,2,False,Saab,Suspension,Mountings & Bushings,2018,41881,True,True,True,8
62,155,Headlight Lens,1,False,Volvo,Electrical,Headlamps,2016,79926,True,True,True,8
426,393,Door Mirror,2,False,MG,Body,Doors & Windows,2020,6675,False,True,False,13
10,110,Engine Crankcase Breather Hose,1,True,Volvo,Fuel,Emissions,2017,56159,True,True,False,9
1043,381,Engine Oil Cooler,1,False,Volkswagen,Engine,Engine Mechanical,2017,391854,True,True,False,2
595,1265,Brake Light Socket,1,True,BMW,Electrical,Sockets & Harness,2017,151368,True,True,True,0
9,21,Steering Tie Rod End,1,False,BMW,Steering,Steering,2020,615121,False,False,False,3
174,178,Auxiliary Engine Cooling Fan Assembly,1,False,Volkswagen,Cooling,Fans,2021,137715,True,False,False,7
