units_sold,id,firstSold,vehicleMaxQty,isDevelopment,make,category,year,TotalVIO,SaleYearRank,HasPartsAuthorityPurchased,HasWorldPacPurchased,HasSSFPurchased
6,16~125773,2006-01-19 20:00:00.000,1,False,BMW,Cooling,2019,3939,14,False,True,False
12,16~125773,2006-01-19 20:00:00.000,1,False,BMW,Cooling,2018,3939,13,False,True,False
13,16~125773,2006-01-19 20:00:00.000,1,False,BMW,Cooling,2017,3939,12,False,True,False
33,16~125773,2006-01-19 20:00:00.000,1,False,BMW,Cooling,2016,3939,11,False,True,False
62,16~125776,2006-01-19 20:00:00.000,1,False,BMW,Cooling,2020,32841,15,False,True,False
82,16~125776,2006-01-19 20:00:00.000,1,False,BMW,Cooling,2019,32841,14,False,True,False
85,16~125776,2006-01-19 20:00:00.000,1,False,BMW,Cooling,2018,32841,13,False,True,False
113,16~125776,2006-01-19 20:00:00.000,1,False,BMW,Cooling,2017,32841,12,False,True,False
171,16~125776,2006-01-19 20:00:00.000,1,False,BMW,Cooling,2016,32841,11,False,True,False
289,16~136708,2005-12-21 20:00:00.000,1,False,Porsche,Cooling,2020,9510,16,True,True,True
227,16~136708,2005-12-21 20:00:00.000,1,False,Porsche,Cooling,2019,9510,15,True,True,True
254,16~136708,2005-12-21 20:00:00.000,1,False,Porsche,Cooling,2018,9510,14,True,True,True
215,16~136708,2005-12-21 20:00:00.000,1,False,Porsche,Cooling,2017,9510,13,True,True,True
398,16~136708,2005-12-21 20:00:00.000,1,False,Porsche,Cooling,2016,9510,12,True,True,True
386,16~136759,2005-12-21 20:00:00.000,1,False,Porsche,Cooling,2020,29792,16,True,True,True
313,16~136759,2005-12-21 20:00:00.000,1,False,Porsche,Cooling,2019,29792,15,True,True,True
213,16~136759,2005-12-21 20:00:00.000,1,False,Porsche,Cooling,2018,29792,14,True,True,True
240,16~136759,2005-12-21 20:00:00.000,1,False,Porsche,Cooling,2017,29792,13,True,True,True
225,16~136759,2005-12-21 20:00:00.000,1,False,Porsche,Cooling,2016,29792,12,True,True,True
235,16~136762,2005-12-21 20:00:00.000,1,False,Porsche,Cooling,2020,12206,16,True,True,True
111,16~136762,2005-12-21 20:00:00.000,1,False,Porsche,Cooling,2019,12206,15,True,True,True
163,16~136762,2005-12-21 20:00:00.000,1,False,Porsche,Cooling,2018,12206,14,True,True,True
102,16~136762,2005-12-21 20:00:00.000,1,False,Porsche,Cooling,2017,12206,13,True,True,True
176,16~136762,2005-12-21 20:00:00.000,1,False,Porsche,Cooling,2016,12206,12,True,True,True
2846,352~135973,2005-12-21 20:00:00.000,2,False,Porsche,Body,2020,40434,16,True,True,True
2352,352~135973,2005-12-21 20:00:00.000,2,False,Porsche,Body,2019,40434,15,True,True,True
2077,352~135973,2005-12-21 20:00:00.000,2,False,Porsche,Body,2018,40434,14,True,True,True
2365,352~135973,2005-12-21 20:00:00.000,2,False,Porsche,Body,2017,40434,13,True,True,True
3232,352~135973,2005-12-21 20:00:00.000,2,False,Porsche,Body,2016,40434,12,True,True,True
951,352~135979,2005-12-21 20:00:00.000,2,False,Porsche,Body,2020,56535,16,True,True,True
1192,352~135979,2005-12-21 20:00:00.000,2,False,Porsche,Body,2019,56535,15,True,True,True
837,352~135979,2005-12-21 20:00:00.000,2,False,Porsche,Body,2018,56535,14,True,True,True
823,352~135979,2005-12-21 20:00:00.000,2,False,Porsche,Body,2017,56535,13,True,True,True
972,352~135979,2005-12-21 20:00:00.000,2,False,Porsche,Body,2016,56535,12,True,True,True
10,49~145063,2005-12-16 20:00:00.000,1,False,Mercedes-Benz,Accessories,2020,34219,16,False,False,False
9,49~145063,2005-12-16 20:00:00.000,1,False,Mercedes-Benz,Accessories,2019,34219,15,False,False,False
15,49~145063,2005-12-16 20:00:00.000,1,False,Mercedes-Benz,Accessories,2018,34219,14,False,False,False
11,49~145063,2005-12-16 20:00:00.000,1,False,Mercedes-Benz,Accessories,2017,34219,13,False,False,False
19,49~145063,2005-12-16 20:00:00.000,1,False,Mercedes-Benz,Accessories,2016,34219,12,False,False,False
54,352~138235,2005-12-14 20:00:00.000,2,False,Jaguar,Body,2020,11651,16,False,False,False
90,352~138235,2005-12-14 20:00:00.000,2,False,Jaguar,Body,2019,11651,15,False,False,False
121,352~138235,2005-12-14 20:00:00.000,2,False,Jaguar,Body,2018,11651,14,False,False,False
117,352~138235,2005-12-14 20:00:00.000,2,False,Jaguar,Body,2017,11651,13,False,False,False
161,352~138235,2005-12-14 20:00:00.000,2,False,Jaguar,Body,2016,11651,12,False,False,False
185,352~138454,2005-12-14 20:00:00.000,2,False,Jaguar,Body,2020,8812,16,True,False,False
228,352~138454,2005-12-14 20:00:00.000,2,False,Jaguar,Body,2019,8812,15,True,False,False
339,352~138454,2005-12-14 20:00:00.000,2,False,Jaguar,Body,2018,8812,14,True,False,False
385,352~138454,2005-12-14 20:00:00.000,2,False,Jaguar,Body,2017,8812,13,True,False,False
355,352~138454,2005-12-14 20:00:00.000,2,False,Jaguar,Body,2016,8812,12,True,False,False
107,352~138466,2005-12-14 20:00:00.000,2,False,Jaguar,Body,2020,49792,16,True,False,False
186,352~138466,2005-12-14 20:00:00.000,2,False,Jaguar,Body,2019,49792,15,True,False,False
162,352~138466,2005-12-14 20:00:00.000,2,False,Jaguar,Body,2018,49792,14,True,False,False
138,352~138466,2005-12-14 20:00:00.000,2,False,Jaguar,Body,2017,49792,13,True,False,False
170,352~138466,2005-12-14 20:00:00.000,2,False,Jaguar,Body,2016,49792,12,True,False,False
250,352~138421,2005-12-14 08:00:00.000,2,False,Jaguar,Body,2020,11984,16,True,True,False
304,352~138421,2005-12-14 08:00:00.000,2,False,Jaguar,Body,2019,11984,15,True,True,False
296,352~138421,2005-12-14 08:00:00.000,2,False,Jaguar,Body,2018,11984,14,True,True,False
383,352~138421,2005-12-14 08:00:00.000,2,False,Jaguar,Body,2017,11984,13,True,True,False
387,352~138421,2005-12-14 08:00:00.000,2,False,Jaguar,Body,2016,11984,12,True,True,False
891,352~137455,2005-12-13 20:00:00.000,2,False,Porsche,Body,2020,20568,16,False,False,True
1258,352~137455,2005-12-13 20:00:00.000,2,False,Porsche,Body,2019,20568,15,False,False,True
939,352~137455,2005-12-13 20:00:00.000,2,False,Porsche,Body,2018,20568,14,False,False,True
660,352~137455,2005-12-13 20:00:00.000,2,False,Porsche,Body,2017,20568,13,False,False,True
1070,352~137455,2005-12-13 20:00:00.000,2,False,Porsche,Body,2016,20568,12,False,False,True
257,132~136729,2005-12-06 20:00:00.000,1,False,Porsche,Cooling,2020,32033,16,True,True,False
200,132~136729,2005-12-06 20:00:00.000,1,False,Porsche,Cooling,2019,32033,15,True,True,False
154,132~136729,2005-12-06 20:00:00.000,1,False,Porsche,Cooling,2018,32033,14,True,True,False
195,132~136729,2005-12-06 20:00:00.000,1,False,Porsche,Cooling,2017,32033,13,True,True,False
171,132~136729,2005-12-06 20:00:00.000,1,False,Porsche,Cooling,2016,32033,12,True,True,False
64,16~136978,2005-12-06 20:00:00.000,1,False,Porsche,Cooling,2020,7375,16,True,True,False
95,16~136978,2005-12-06 20:00:00.000,1,False,Porsche,Cooling,2019,7375,15,True,True,False
64,16~136978,2005-12-06 20:00:00.000,1,False,Porsche,Cooling,2018,7375,14,True,True,False
62,16~136978,2005-12-06 20:00:00.000,1,False,Porsche,Cooling,2017,7375,13,True,True,False
67,16~136978,2005-12-06 20:00:00.000,1,False,Porsche,Cooling,2016,7375,12,True,True,False
277,16~125728,2005-12-02 20:00:00.000,1,False,BMW,Cooling,2020,121862,16,False,True,True
310,16~125728,2005-12-02 20:00:00.000,1,False,BMW,Cooling,2019,121862,15,False,True,True
433,16~125728,2005-12-02 20:00:00.000,1,False,BMW,Cooling,2018,121862,14,False,True,True
516,16~125728,2005-12-02 20:00:00.000,1,False,BMW,Cooling,2017,121862,13,False,True,True
567,16~125728,2005-12-02 20:00:00.000,1,False,BMW,Cooling,2016,121862,12,False,True,True
19,49~141910,2005-12-01 20:00:00.000,1,False,Jaguar,Accessories,2020,63766,16,False,False,False
35,49~141910,2005-12-01 20:00:00.000,1,False,Jaguar,Accessories,2019,63766,15,False,False,False
62,49~141910,2005-12-01 20:00:00.000,1,False,Jaguar,Accessories,2018,63766,14,False,False,False
68,49~141910,2005-12-01 20:00:00.000,1,False,Jaguar,Accessories,2017,63766,13,False,False,False
61,49~141910,2005-12-01 20:00:00.000,1,False,Jaguar,Accessories,2016,63766,12,False,False,False
163,147~125803,2005-11-30 20:00:00.000,1,False,Mercedes-Benz,Fuel,2020,25026,16,True,True,True
215,147~125803,2005-11-30 20:00:00.000,1,False,Mercedes-Benz,Fuel,2019,25026,15,True,True,True
124,147~125803,2005-11-30 20:00:00.000,1,False,Mercedes-Benz,Fuel,2018,25026,14,True,True,True
113,147~125803,2005-11-30 20:00:00.000,1,False,Mercedes-Benz,Fuel,2017,25026,13,True,True,True
19,147~125803,2005-11-30 20:00:00.000,1,False,Mercedes-Benz,Fuel,2016,25026,12,True,True,True
302,147~125806,2005-11-30 08:00:00.000,1,False,Mercedes-Benz,Fuel,2020,51587,16,False,True,True
229,147~125806,2005-11-30 08:00:00.000,1,False,Mercedes-Benz,Fuel,2019,51587,15,False,True,True
224,147~125806,2005-11-30 08:00:00.000,1,False,Mercedes-Benz,Fuel,2018,51587,14,False,True,True
270,147~125806,2005-11-30 08:00:00.000,1,False,Mercedes-Benz,Fuel,2017,51587,13,False,True,True
277,147~125806,2005-11-30 08:00:00.000,1,False,Mercedes-Benz,Fuel,2016,51587,12,False,True,True
136,16~125596,2005-11-21 20:00:00.000,1,False,BMW,Cooling,2020,7704,16,True,True,True
173,16~125596,2005-11-21 20:00:00.000,1,False,BMW,Cooling,2019,7704,15,True,True,True
215,16~125596,2005-11-21 20:00:00.000,1,False,BMW,Cooling,2018,7704,14,True,True,True
226,16~125596,2005-11-21 20:00:00.000,1,False,BMW,Cooling,2017,7704,13,True,True,True
313,16~125596,2005-11-21 20:00:00.000,1,False,BMW,Cooling,2016,7704,12,True,True,True
37,120~145096,2005-11-18 20:00:00.000,1,False,Mercedes-Benz,Accessories,2020,57317,16,False,False,False
35,120~145096,2005-11-18 20:00:00.000,1,False,Mercedes-Benz,Accessories,2019,57317,15,False,False,False
45,120~145096,2005-11-18 20:00:00.000,1,False,Mercedes-Benz,Accessories,2018,57317,14,False,False,False
29,120~145096,2005-11-18 20:00:00.000,1,False,Mercedes-Benz,Accessories,2017,57317,13,False,False,False
44,120~145096,2005-11-18 20:00:00.000,1,False,Mercedes-Benz,Accessories,2016,57317,12,False,False,False
