VendorPartNo,Sales Year,Make,Category,IsDevelopment,Total VIO,FirstSoldDate,vehicleMaxQty,PartsAuthority,SSF,Worldpac,PartsAuthority Sales count,SSF Sales count,WorldPac Sales count,UnitsSold360 Sales count,Total Units Sold Sales count,SalesYearRank
03665802,2018,Mercedes-Benz,Engine,0,914067,2018-03-15,1,0,0,1,0.0,0.0,0.0,0.0,38.0,1
03665802,2019,Mercedes-Benz,Engine,0,914067,2018-03-15,1,0,0,1,0.0,0.0,1.0,119.0,90.0,2
03665802,2020,Mercedes-Benz,Engine,0,914067,2018-03-15,1,0,0,1,0.0,0.0,3.0,0.0,98.0,3
03665803,2018,Mercedes-Benz,Electrical,0,447654,2011-07-20,1,0,0,0,0.0,0.0,0.0,0.0,111.0,8
03665803,2019,Mercedes-Benz,Electrical,0,447654,2011-07-20,1,0,0,0,0.0,0.0,2.0,123.0,24.0,9
03665803,2020,Mercedes-Benz,Electrical,0,447654,2011-07-20,1,0,0,0,0.0,0.0,0.0,0.0,105.0,10
03665804,2018,Mercedes-Benz,Climate Control,0,2256206,2018-02-23,1,0,0,1,0.0,0.0,0.0,0.0,57.0,1
03665804,2019,Mercedes-Benz,Climate Control,0,2256206,2018-02-23,1,0,0,1,0.0,0.0,5.0,323.0,130.0,2
03665804,2020,Mercedes-Benz,Climate Control,0,2256206,2018-02-23,1,0,0,1,0.0,0.0,3.0,0.0,275.0,3
037 121 132B,2016,Volkswagen,Cooling,0,23880,2010-01-28,1,0,0,1,0.0,0.0,0.0,0.0,76.0,7
037 121 132B,2017,Volkswagen,Cooling,0,23880,2010-01-28,1,0,0,1,0.0,0.0,0.0,0.0,25.0,8
037 121 132B,2018,Volkswagen,Cooling,0,23880,2010-01-28,1,0,0,1,0.0,0.0,0.0,0.0,40.0,9
037 121 132B,2019,Volkswagen,Cooling,0,23880,2010-01-28,1,0,0,1,0.0,0.0,1.0,85.0,41.0,10
037 121 132B,2020,Volkswagen,Cooling,0,23880,2010-01-28,1,0,0,1,0.0,0.0,0.0,0.0,32.0,11
037 121 132E,2016,Volkswagen,Cooling,0,0,2010-10-28,1,0,0,1,0.0,0.0,47.0,0.0,112.0,7
037 121 132E,2017,Volkswagen,Cooling,0,0,2010-10-28,1,0,0,1,0.0,0.0,4.0,0.0,14.0,8
037 121 132E,2018,Volkswagen,Cooling,0,0,2010-10-28,1,0,0,1,0.0,0.0,4.0,0.0,12.0,9
037 121 132E,2019,Volkswagen,Cooling,0,0,2010-10-28,1,0,0,1,0.0,0.0,8.0,5.0,11.0,10
037 121 132E,2020,Volkswagen,Cooling,0,0,2010-10-28,1,0,0,1,0.0,0.0,0.0,0.0,1.0,11
037 121 144H,2016,Volkswagen,Cooling,0,112851,2011-09-19,1,1,0,1,23.0,0.0,886.0,0.0,1216.0,6
037 121 144H,2017,Volkswagen,Cooling,0,112851,2011-09-19,1,1,0,1,7.0,0.0,378.0,0.0,567.0,7
037 121 144H,2018,Volkswagen,Cooling,0,112851,2011-09-19,1,1,0,1,6.0,0.0,215.0,0.0,339.0,8
037 121 144H,2019,Volkswagen,Cooling,0,112851,2011-09-19,1,1,0,1,8.0,0.0,287.0,476.0,407.0,9
037 121 144H,2020,Volkswagen,Cooling,0,112851,2011-09-19,1,1,0,1,22.0,0.0,114.0,0.0,243.0,10
038 103 663,2016,Volkswagen,Engine,0,144855,2010-01-28,1,1,1,1,326.0,297.0,1293.0,0.0,3299.0,7
038 103 663,2017,Volkswagen,Engine,0,144855,2010-01-28,1,1,1,1,380.0,219.0,1235.0,0.0,2380.0,8
038 103 663,2018,Volkswagen,Engine,0,144855,2010-01-28,1,1,1,1,343.0,89.0,871.0,0.0,2017.0,9
038 103 663,2019,Volkswagen,Engine,0,144855,2010-01-28,1,1,1,1,852.0,174.0,653.0,2135.0,2312.0,10
038 103 663,2020,Volkswagen,Engine,0,144855,2010-01-28,1,1,1,1,707.0,101.0,316.0,0.0,1593.0,11
038 103 663B,2016,Volkswagen,Engine,0,90363,2015-09-08,1,1,1,0,19.0,10.0,0.0,0.0,63.0,2
038 103 663B,2017,Volkswagen,Engine,0,90363,2015-09-08,1,1,1,0,32.0,31.0,0.0,0.0,110.0,3
038 103 663B,2018,Volkswagen,Engine,0,90363,2015-09-08,1,1,1,0,14.0,41.0,0.0,0.0,112.0,4
038 103 663B,2019,Volkswagen,Engine,0,90363,2015-09-08,1,1,1,0,46.0,23.0,0.0,190.0,135.0,5
038 103 663B,2020,Volkswagen,Engine,0,90363,2015-09-08,1,1,1,0,45.0,38.0,0.0,0.0,154.0,6
038 121 121,2016,Volkswagen,Cooling,0,163631,2015-11-23,1,0,0,0,0.0,0.0,0.0,0.0,55.0,2
038 121 121,2017,Volkswagen,Cooling,0,163631,2015-11-23,1,0,0,0,0.0,0.0,0.0,0.0,92.0,3
