VendorPartNo,Make,vehicleMaxQty,Category,IsDevelopment,Worldpac,PartsAuthority,SSF,WorldPac(2016),PartsAuthority(2016),SSF(2016),Total Units Sold(2016),WorldPac(2017),PartsAuthority(2017),SSF(2017),Total Units Sold(2017),WorldPac(2018),PartsAuthority(2018),SSF(2018),Total Units Sold(2018),WorldPac(2019),PartsAuthority(2019),SSF(2019),Total Units Sold(2019),WorldPac(2020),PartsAuthority(2020),SSF(2020),Total Units Sold(2020),UnitsSold360,VIO_US,VIO_CANADA,FirstSoldDate
K041911,Hyundai,1,Electrical,Yes,No,No,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,24,152307,0,09/01/20
,BMW,1,Engine,Yes,No,No,Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,66,66,933908,70669,09/01/20
SF-04AM-2,Volkswagen,1,Body,,No,No,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,15,189255,36280,09/01/20
G061802,Porsche,1,Steering,Yes,No,No,Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,42,42,21527,2034,08/31/20
VK80497,Mini,2,Suspension,,No,No,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,31,437020,42560,08/31/20
SF-004Q-2,Audi,1,Body,,No,No,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,10,989427,143391,08/31/20
KF-08524,BMW,1,Brakes,,Yes,No,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,7,7,439171,40562,08/31/20
,,0,,,No,No,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0,0,08/28/20
GM008GK0,Ram,1,Cooling,,No,No,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,17,19214102,0,08/27/20
M111812,GMC,2,Body,Yes,No,No,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,25,0,0,08/27/20
BN-1111,Freightliner,1,Engine,,No,No,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,104687,45319,08/27/20
BN-1321,Volvo,1,Engine,,No,No,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,46817,5872,08/27/20
K071924,BMW,1,Body,Yes,No,No,Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,26,26,1049530,145944,08/27/20
BN-1126,Mercedes-Benz,1,Engine,,No,No,Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,19,19,810225,71557,08/27/20
BN-1113,Mercedes-Benz,1,Engine,,No,No,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,49086,5591,08/27/20
BN-1011,Volkswagen,1,Transmission,,Yes,No,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,30,32,1658922,269230,08/27/20
BN-1114,Mercedes-Benz,1,Engine,,No,No,Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,13,13,150287,8757,08/27/20
KF-03005,Volkswagen,2,Engine,,No,No,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,604284,67283,08/27/20
BN-1005,Volkswagen,1,Engine,,No,No,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,142179,11940,08/27/20
LAA-70074,Lincoln,2,Brakes,,No,No,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,31,1378645,0,08/26/20
G001,,1,,,No,Yes,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,16,16,0,0,08/26/20
LT59962,BMW,1,Transmission,,No,No,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,321614,17279,08/25/20
,,0,,,No,No,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,08/24/20
C091717,BMW,1,Body,Yes,Yes,No,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,2,78846,5476,08/24/20
C041860,Volvo,1,Cooling,Yes,No,No,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,23527,1943,08/21/20
K041910,Porsche,4,Body,Yes,No,No,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,86,60917,4616,08/21/20
M071838,Mercedes-Benz,1,Body,Yes,Yes,No,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,19,21,0,0,08/20/20
K061904,Volkswagen,1,Fuel,Yes,No,No,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,198431,30289,08/20/20
M101817,Mini,1,Body,Yes,No,No,Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,82,82,3689762,375399,08/19/20
G101626,Jaguar,1,Steering,Yes,No,No,Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,8,8,34353,1963,08/19/20
K071911,Mini,1,Fuel,Yes,No,No,Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,25,27,73216,8386,08/17/20
M091928,Mini,1,Fuel,Yes,No,No,Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,18,20,80938,5998,08/17/20
C051849,Mercedes-Benz,2,Electrical,Yes,No,No,Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,60,60,179907,10865,08/17/20
G101623,Jaguar,1,Steering,Yes,No,No,Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,8,8,60352,3657,08/14/20
900345,BMW,1,Suspension,,No,No,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,84181,14604,08/14/20
KF-08523,BMW,1,Brakes,,Yes,No,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,10,10,208101,19635,08/14/20
UAH02-84532,Audi,1,Body,,No,No,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,19608,1555,08/13/20
LAA-48020,Toyota,1,Brakes,,No,No,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,216582,0,08/11/20
LAA-33020B,Toyota,1,Brakes,,No,No,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,1958911,0,08/11/20
LAA-35020,Toyota,1,Brakes,,Yes,No,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,37,39,1425239,0,08/11/20
LAA-0C010B,Toyota,1,Brakes,,Yes,No,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,0,0,50,75,986375,0,08/10/20
