units_sold,partType,vehicleMaxQty,isDevelopment,make,category,subCat,year,TotalVIO,no_of_days,HasPartsAuthorityPurchased,HasWorldPacPurchased,HasSSFPurchased,sale_year_rank
237,Suspension Strut Mount,2,False,Saab,Suspension,Mountings & Bushings,2019,41881,365,True,True,True,9
211,Vacuum Hose Connector,9,True,Porsche,Fuel,"Hoses, Pipes, Tubes",2018,111659,268,True,False,True,0
692,Suspension Stabilizer Bar Link,2,True,Jaguar,Suspension,Stabilizers,2017,25783,365,True,True,True,11
531,Engine Valve Cover,1,False,Saturn,Engine,Engine Mechanical,2020,2636778,365,True,True,False,1
287,Engine Crankcase Breather Connector,1,False,Volkswagen,Engine,Emissions,2019,606382,365,False,True,False,7
26,Shock Mount,2,False,BMW,Suspension,Mountings & Bushings,2018,4258,365,False,True,False,12
8,Side Marker Light Assembly,1,False,Volvo,Electrical,Marker Lamps,2019,10830,365,True,False,False,10
907,Sun Visor Clip,2,False,Porsche,Body,Interior Trim,2019,72794,365,True,True,True,5
1160,Antenna Mast,1,False,Mercedes-Benz,Electrical,Antenna,2016,274116,365,True,True,True,17
255,High Intensity Discharge Headlight Control Module,2,False,Jeep,Electrical,Headlamps,2020,444039,365,True,True,False,1
49,Vent Window Weatherstrip,1,True,Porsche,Body,Gaskets & Seals,2017,9069,365,True,False,True,1
2402,Secondary Air Injection Pump,1,False,Porsche,Engine,Emissions,2017,948000,365,True,True,True,5
1093,Drive Belt Idler Pulley,1,False,Chrysler,Engine,Pulleys & Tensioners,2017,1087608,365,True,True,False,11
362,Radiator Coolant Hose,1,False,BMW,Cooling,"Hoses, Pipes, Tubes",2018,31427,365,True,True,True,12
452,Engine Oil Cooler Hose Assembly,1,False,Volvo,Engine,"Hoses, Pipes, Tubes",2016,5904,365,True,True,True,13
76,Engine Oil Cooler Fan,1,False,Porsche,Cooling,Fans,2017,20871,365,True,True,True,2
79,Automatic Transmission Mount,1,False,Mercedes-Benz,Transmission,Mountings & Bushings,2020,104855,365,True,True,False,21
24,Radiator Coolant Hose,1,False,Mercedes-Benz,Cooling,"Hoses, Pipes, Tubes",2018,1185,365,True,True,True,19
24,Suspension Control Arm,1,False,Audi,Suspension,Control Arms,2020,36711,365,True,True,False,1
71,Drive Belt Tensioner,1,False,Volkswagen,Engine,Pulleys & Tensioners,2018,53077,365,False,True,False,3
464,HVAC Blower Motor,1,False,Porsche,Climate Control,Motors & Servos,2018,20871,365,True,True,True,2
123,Universal Joint,2,False,Plymouth,Steering,Steering,2020,53537,365,True,False,False,21
128,Suspension Strut Mount,2,False,Audi,Suspension,Mountings & Bushings,2017,8289,365,True,False,False,6
213,Engine Coolant Reservoir,1,False,Mercedes-Benz,Cooling,Expansion Tanks & Parts,2020,114273,365,True,True,False,2
45,Windshield Seal,1,False,Volkswagen,Body,Gaskets & Seals,2017,22366,365,True,False,False,1
6872,Windshield Washer Pump,2,False,Porsche,Body,Wiper & Washer System,2018,7859381,365,True,True,False,8
1863,Drive Shaft Flex Joint,1,True,BMW,Drivetrain & Hub,Driveshaft,2020,2182331,365,True,True,False,21
634,Engine Coolant Reservoir Mounting Plate,1,False,BMW,Cooling,Expansion Tanks & Parts,2018,105926,365,False,True,False,3
36,Spark Plug Wire Set,1,True,Mercedes-Benz,Electrical,Ignition System,2017,23242,247,True,True,False,0
204,Drive Belt Tensioner Pulley,1,False,Audi,Engine,Pulleys & Tensioners,2017,84390,365,True,True,True,2
218,Fuel Filler Neck Sleeve,1,False,Porsche,Fuel,Miscellaneous,2019,44662,365,True,True,True,4
387,Turn Signal Light Assembly,1,False,Saab,Electrical,Turn Indicator Lamps,2016,41881,365,True,True,True,7
393,Door Mirror,2,False,Triumph,Body,Doors & Windows,2020,6675,365,True,False,False,13
25,HVAC Heater Hose,1,False,Jaguar,Cooling,"Hoses, Pipes, Tubes",2019,15716,365,True,True,False,20
26,Disc Brake Pad Wear Sensor,1,False,BMW,Brakes,Sensors & Senders,2020,11590,365,False,False,False,1
6,Exterior Door Handle Cover,1,False,BMW,Accessories,Exterior Trim,2019,66888,365,False,False,False,15
43,Electric Fuel Pump,1,False,Land Rover,Fuel,Fuel Supply,2016,3799,365,True,False,True,1
191,Automatic Transmission Mount,1,False,Mercedes-Benz,Transmission,Mountings & Bushings,2019,49262,365,True,True,True,20
27,Radiator Coolant Hose,1,False,BMW,Cooling,"Hoses, Pipes, Tubes",2019,14765,365,True,True,False,13
1650,Drive Belt Tensioner,1,False,Mercedes-Benz,Engine,Pulleys & Tensioners,2019,903176,365,False,True,True,12
128,Suspension Control Arm Link,2,False,Volvo,Suspension,Control Arms,2019,144858,365,True,True,False,6
44,HVAC Heater Hose,1,False,Volvo,Cooling,"Hoses, Pipes, Tubes",2019,28299,365,True,True,True,11
53,Disc Brake Pad Wear Sensor,2,False,BMW,Brakes,Sensors & Senders,2018,25491,365,False,True,False,8
84,Radiator Coolant Hose,1,False,Land Rover,Cooling,"Hoses, Pipes, Tubes",2018,16568,365,True,True,False,15
913,Suspension Stabilizer Bar Bushing,2,False,Jaguar,Suspension,Mountings & Bushings,2020,30829,365,True,True,True,8
34,Suspension Control Arm Bushing,2,False,Mercedes-Benz,Suspension,Mountings & Bushings,2019,274826,365,False,True,False,7
43,Suspension Control Arm,1,False,BMW,Suspension,Control Arms,2020,36402,365,False,True,False,11
41,Engine Mount,1,True,Volkswagen,Engine,Mountings & Bushings,2018,30409,365,True,True,False,2
29,Automatic Transmission Mount,1,False,BMW,Transmission,Mountings & Bushings,2020,11727,365,True,False,False,17
2727,Engine Water Pump O-Ring,1,False,Land Rover,Cooling,Gaskets & Seals,2019,315855,365,True,True,True,4
48,Engine Coolant Thermostat / Water Inlet Assembly,1,False,Mini,Cooling,Thermostats,2017,247783,45,True,True,False,0
1411,Engine Mount,2,False,Porsche,Engine,Mountings & Bushings,2016,34722,365,False,True,True,16
240,Shock Absorber Bushing,2,False,Jaguar,Suspension,Mountings & Bushings,2020,10899,365,True,True,True,19
22,Radiator Coolant Hose,1,False,Jaguar,Cooling,"Hoses, Pipes, Tubes",2017,59744,365,True,False,True,10
41,Turn Signal Switch,1,False,Mercedes-Benz,Electrical,"Relays, Switches, Solenoids",2016,189203,365,True,True,False,6
226,Trunk Lid Lift Support,2,False,BMW,Body,Lift Struts,2016,109386,365,True,True,False,7
25,Steering Tie Rod Assembly,1,False,Volkswagen,Steering,Steering,2016,245933,365,False,True,False,4
711,Engine Air Distribution Hose,2,False,Mercedes-Benz,Fuel,"Hoses, Pipes, Tubes",2016,25026,365,True,True,False,14
3,Suspension Control Arm,1,False,Saab,Suspension,Control Arms,2018,3477,365,True,False,False,9
51,Automatic Transmission Oil Cooler,1,False,Volkswagen,Transmission,Miscellaneous,2017,176680,365,True,True,True,2
1538,Drive Belt Idler Pulley,1,False,Plymouth,Engine,Pulleys & Tensioners,2020,22913443,365,True,True,False,2
1086,Engine Oil Pressure Switch,1,False,BMW,Electrical,Sensors & Senders,2018,1419124,365,True,True,False,12
29,Radiator Coolant Hose,1,False,Jaguar,Cooling,"Hoses, Pipes, Tubes",2019,7481,365,False,True,True,11
385,Turn Signal Light Assembly,1,False,Volvo,Electrical,Turn Indicator Lamps,2017,73500,365,True,True,False,8
17,A/C Receiver Drier,1,False,Jaguar,Climate Control,Driers & Accumulators,2017,993,365,False,True,False,17
396,Brake Light Switch,1,False,Jaguar,Electrical,"Relays, Switches, Solenoids",2018,8020,365,True,True,False,16
152,Suspension Control Arm and Ball Joint Assembly,1,False,Audi,Suspension,Control Arms,2020,438776,365,True,True,False,5
18,Window Regulator,1,False,Mercedes-Benz,Body,Regulators,2018,67317,365,True,True,True,2
35,Engine Coolant Thermostat Housing,1,True,Mini,Cooling,Flanges & Housings,2016,86936,141,True,True,True,0
122,Door Window Seal,1,False,Mercedes-Benz,Body,Gaskets & Seals,2016,3375,365,True,True,True,17
116,Drive Shaft Center Support,1,False,Mercedes-Benz,Drivetrain & Hub,Driveshaft,2018,14284,365,True,True,False,12
95,Drive Belt Idler Pulley,1,False,Honda,Engine,Pulleys & Tensioners,2018,22913443,122,True,True,False,0
207,Radiator Coolant Hose,1,False,Volvo,Cooling,"Hoses, Pipes, Tubes",2020,63984,365,True,True,True,8
6,Hatch Lift Support,2,True,BMW,Body,Lift Struts,2020,11921,253,True,False,False,0
99,Ignition Coil,1,False,Subaru,Electrical,Ignition System,2019,539546,365,False,True,False,1
24,Drive Belt Tensioner,1,False,Jaguar,Engine,Pulleys & Tensioners,2018,281942,365,True,True,False,2
2811,Disc Brake Pad Wear Sensor,2,False,Porsche,Brakes,Sensors & Senders,2019,237284,365,True,True,False,10
45,Headlight Lens,1,False,Volvo,Electrical,Headlamps,2018,24097,365,True,False,True,9
49,Remote Key Button Insert,2,False,Audi,Electrical,Miscellaneous,2018,111240,365,True,True,True,6
11,Steering Tie Rod End,1,False,Volkswagen,Steering,Steering,2016,4960,365,False,False,False,2
48,Suspension Control Arm,1,False,Chevrolet,Suspension,Control Arms,2019,126093,365,False,True,False,9
48,Multi Purpose Relay,2,False,Geo,Electrical,"Relays, Switches, Solenoids",2018,1565108,365,False,True,False,4
626,Radiator Drain Plug,1,False,Mercedes-Benz,Cooling,Radiator / Matrix,2020,1798416,365,True,True,False,4
